id,is_canceled
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,0
421,0
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,0
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,0
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,1
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,1
714,1
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,1
732,0
733,1
734,1
735,1
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,0
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,1
801,0
802,1
803,0
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,0
833,1
834,1
835,1
836,1
837,1
838,1
839,0
840,0
841,1
842,1
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,0
859,0
860,1
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,1
871,1
872,0
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,0
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,0
895,0
896,0
897,1
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,1
919,0
920,1
921,0
922,1
923,1
924,1
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,0
954,1
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,1
973,0
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,1
1045,1
1046,0
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,0
1077,1
1078,1
1079,1
1080,1
1081,0
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,1
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,1
1150,0
1151,1
1152,0
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,1
1160,1
1161,1
1162,1
1163,0
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,1
1177,1
1178,0
1179,0
1180,1
1181,0
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,1
1191,1
1192,0
1193,1
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
